code_geo,annee,nb_chomeurs,nb_actifs,taux_chomage
59072,2016,5.03968,115.9127,4.35
59078,2016,70.24585,336.05978,20.9
59099,2016,149.65231,853.01814,17.54
59393,2016,75.0,490.0,15.31
59553,2016,201.53739,2745.94689,7.34
59006,2016,30.38551,288.73409,10.52
59295,2016,1475.06202,9702.75214,15.2
59593,2016,24.86737,353.11671,7.04
59338,2016,30.0,315.0,9.52
59645,2016,62.10351,300.16694,20.69
59199,2016,29.36085,324.85998,9.04
59646,2016,1190.62297,9913.82093,12.01
59406,2016,19.84711,169.1568,11.73
59625,2016,30.82915,226.0804,13.64
59176,2016,25.6079,189.49848,13.51
59407,2016,4.68919,277.28832,1.69
59203,2016,128.48704,696.26185,18.45
59166,2016,60.38742,572.0972,10.56
59350,2016,22449.14013,113476.13425,19.78
59223,2016,25.36656,254.36634,9.97
59212,2016,472.11696,2954.05669,15.98
59002,2016,386.2135,1890.98377,20.42
59130,2016,71.26222,545.76796,13.06
59098,2016,209.71589,2363.40887,8.87
59201,2016,30.51624,279.31978,10.93
59324,2016,1256.51334,4003.89151,31.38
59193,2016,129.71188,1545.43741,8.39
59063,2016,238.20913,925.79671,25.73
59617,2016,30.86982,330.8932,9.33
59367,2016,938.60915,6564.65943,14.3
59210,2016,150.0,970.0,15.46
59060,2016,5.0,115.0,4.35
59262,2016,90.0,980.0,9.18
59653,2016,498.99759,3830.79603,13.03
59194,2016,114.57579,602.85288,19.01
59550,2016,180.0,1465.0,12.29
59027,2016,57.99437,657.26953,8.82
59092,2016,329.36601,1693.43456,19.45
59134,2016,76.0241,547.37349,13.89
59381,2016,44.41921,416.04928,10.68
59340,2016,376.29389,1856.3832,20.27
59422,2016,50.3945,272.13574,18.52
59344,2016,204.61821,1014.79168,20.16
59410,2016,1914.92535,9401.7303,20.37
59050,2016,25.57971,107.43478,23.81
59080,2016,115.0,1255.0,9.16
59178,2016,4119.9102,17140.84892,24.04
59514,2016,371.83799,1900.87852,19.56
59491,2016,1467.7097,5280.51866,27.79
59243,2016,125.0,575.0,21.74
59509,2016,471.72815,2663.91548,17.71
59116,2016,14.92806,159.23261,9.38
59446,2016,15.13222,291.92059,5.18
59258,2016,80.0,1200.0,6.67
59517,2016,30.68347,343.14969,8.94
59570,2016,35.0,435.0,8.05
59401,2016,125.0,1115.0,11.21
59658,2016,27.29885,236.59004,11.54
59254,2016,35.27936,443.51197,7.95
59309,2016,216.66132,1789.64917,12.11
59014,2016,1578.01408,5524.31295,28.56
59296,2016,9.91667,168.58333,5.88
59575,2016,15.55419,222.94335,6.98
59423,2016,69.29059,674.04281,10.28
59100,2016,4.90991,127.65766,3.85
59055,2016,45.0,225.0,20.0
59412,2016,15.82759,116.06897,13.64
59271,2016,2435.81966,8533.56719,28.54
59104,2016,270.0,1375.0,19.64
59413,2016,35.0,280.0,12.5
59522,2016,45.43949,845.17447,5.38
59508,2016,702.68726,6371.18126,11.03
59520,2016,104.53009,663.03848,15.77
59484,2016,747.14454,2396.99066,31.17
59327,2016,579.46069,2448.05491,23.67
59636,2016,467.32666,5129.53915,9.11
59179,2016,962.61193,4281.7484,22.48
59229,2016,35.0,265.0,13.21
59064,2016,88.05911,503.89377,17.48
59559,2016,44.9523,948.99866,4.74
59169,2016,4.82843,106.22549,4.55
59655,2016,5.0,120.0,4.17
59504,2016,339.7266,1599.0919,21.24
59533,2016,113.91542,719.73834,15.83
59302,2016,238.46776,1796.08988,13.28
59275,2016,47.45751,489.21637,9.7
59578,2016,76.58903,842.47933,9.09
59579,2016,48.58079,646.12445,7.52
59489,2016,214.72652,1739.8713,12.34
59301,2016,258.68837,2089.51069,12.38
59383,2016,1051.52629,4977.57014,21.13
59227,2016,455.28732,2253.62975,20.2
59500,2016,30.16086,175.93834,17.14
59467,2016,234.14687,1265.84198,18.5
59103,2016,29.94275,204.60878,14.63
59582,2016,40.55437,471.44456,8.6
59044,2016,129.56722,2332.20994,5.56
59161,2016,65.0,315.0,20.63
59546,2016,50.08077,491.94902,10.18
59474,2016,15.73027,399.15961,3.94
59384,2016,94.38127,614.13685,15.37
59499,2016,75.97016,891.3832,8.52
59536,2016,45.0,435.0,10.34
59160,2016,457.66977,1830.46414,25.0
59542,2016,30.0,225.0,13.33
59185,2016,150.0,730.0,20.55
59614,2016,99.33486,661.33644,15.02
59405,2016,30.0,210.0,14.29
59551,2016,43.83159,725.65628,6.04
59277,2016,20.0,160.0,12.5
59434,2016,64.43997,689.66345,9.34
59524,2016,252.18267,2654.64608,9.5
59233,2016,15.12004,173.31958,8.72
59495,2016,309.08853,1056.88336,29.25
59473,2016,19.68153,172.21338,11.43
59204,2016,30.0,205.0,14.63
59170,2016,416.39788,2183.03145,19.07
59608,2016,49.45071,573.33003,8.63
59585,2016,121.27321,1486.62379,8.16
59526,2016,1275.84507,7275.6565,17.54
59637,2016,74.19355,593.54839,12.5
59439,2016,5.0,155.0,3.23
59588,2016,517.68309,3788.84191,13.66
59337,2016,4.95913,272.17852,1.82
59107,2016,374.882,1909.87182,19.63
59093,2016,5.0,180.0,2.78
59450,2016,51.18471,271.27898,18.87
59493,2016,15.06579,135.59211,11.11
59663,2016,187.18316,2366.29819,7.91
59067,2016,250.05669,1633.02326,15.31
59054,2016,53.71312,449.23703,11.96
59631,2016,170.0,920.0,18.48
59224,2016,68.94353,649.0514,10.62
59241,2016,45.4248,267.3293,16.99
59300,2016,44.83265,249.08728,18.0
59310,2016,60.38826,420.83948,14.35
59543,2016,55.0,495.0,11.11
59580,2016,205.0,2065.0,9.93
59530,2016,35.42659,187.04572,18.94
59028,2016,789.1304,3074.94689,25.66
59123,2016,39.66265,758.54819,5.23
59392,2016,3898.14445,11390.22432,34.22
59252,2016,110.41108,1153.94986,9.57
59485,2016,175.0,765.0,22.88
59257,2016,67.19311,454.68958,14.78
59661,2016,24.67949,64.16667,38.46
59129,2016,80.0,1050.0,7.62
59065,2016,75.0,400.0,18.75
59589,2016,236.4554,1380.89951,17.12
59547,2016,60.19546,388.14602,15.51
59486,2016,186.07719,1342.93036,13.86
59046,2016,55.0,350.0,15.71
59480,2016,56.17946,439.22122,12.79
59513,2016,19.69365,226.47702,8.7
59668,2016,76.70689,810.36516,9.47
59007,2016,50.0,370.0,13.51
59042,2016,67.23552,797.57289,8.43
59303,2016,85.0,1130.0,7.52
59217,2016,9.85294,182.27941,5.41
59527,2016,730.7691,6515.80427,11.22
59440,2016,25.0,325.0,7.69
59202,2016,246.26855,2541.49146,9.69
59009,2016,5065.33239,28045.2491,18.06
59323,2016,19.87719,516.80688,3.85
59462,2016,230.0,2310.0,9.96
59326,2016,37.77003,472.12544,8.0
59563,2016,5.06173,116.41975,4.35
59256,2016,164.75671,1670.95145,9.86
59234,2016,543.36444,2620.28693,20.74
59610,2016,64.29924,463.87311,13.86
59627,2016,30.06135,425.86912,7.06
59492,2016,54.725,278.6,19.64
59447,2016,747.15711,3576.4303,20.89
59036,2016,612.41846,1738.97727,35.22
59126,2016,102.30415,722.01901,14.17
59414,2016,408.31239,1954.62573,20.89
59052,2016,315.9981,2497.40435,12.65
59649,2016,25.3112,141.74274,17.86
59228,2016,80.0,575.0,13.91
59266,2016,138.23921,1964.97164,7.04
59444,2016,49.87035,379.04184,13.16
59521,2016,30.45854,218.25986,13.96
59140,2016,54.27313,222.02643,24.44
59437,2016,25.0,425.0,5.88
59319,2016,85.32128,1341.65614,6.36
59018,2016,70.84709,629.06061,11.26
59611,2016,69.15152,1126.18182,6.14
59087,2016,35.63475,359.15757,9.92
59114,2016,115.0,800.0,14.37
59628,2016,36.19176,294.7043,12.28
59581,2016,185.0,1775.0,10.42
59250,2016,121.24525,1045.47615,11.6
59357,2016,116.09757,913.63738,12.71
59466,2016,111.6961,1482.81505,7.53
59573,2016,20.0,65.0,30.77
59425,2016,15.24022,137.22328,11.11
59607,2016,10.21091,281.82971,3.62
59496,2016,10.07494,110.82438,9.09
59197,2016,90.0,1100.0,8.18
59026,2016,77.29336,554.90855,13.93
59382,2016,165.0,655.0,25.19
59604,2016,75.16533,395.94057,18.98
59560,2016,849.27683,5795.44677,14.65
59029,2016,50.76209,746.20278,6.8
59198,2016,10.22305,97.11896,10.53
59557,2016,117.04754,1121.70559,10.43
59454,2016,25.0,270.0,9.26
59133,2016,10.0,495.0,2.02
59222,2016,99.74013,1093.54888,9.12
59358,2016,45.191,512.16469,8.82
59506,2016,24.76257,188.68567,13.12
59519,2016,108.01149,998.74592,10.81
59331,2016,385.0,1405.0,27.4
59601,2016,196.6446,1164.34305,16.89
59515,2016,62.7274,318.80581,19.68
59468,2016,4.79747,148.72152,3.23
59041,2016,235.86224,1062.37109,22.2
59173,2016,85.66326,846.7005,10.12
59270,2016,24.54708,229.63525,10.69
59647,2016,170.0,1028.0,16.54
59666,2016,95.10531,719.77979,13.21
59629,2016,74.66413,701.76348,10.64
59528,2016,70.19922,707.15729,9.93
59031,2016,4.87705,195.08197,2.5
59058,2016,38.97132,462.78437,8.42
59143,2016,470.0,3795.0,12.38
59452,2016,465.0,2180.0,21.33
59465,2016,65.76471,430.0,15.29
59244,2016,130.0,875.0,14.86
59438,2016,58.58032,346.60025,16.9
59471,2016,99.37888,963.97516,10.31
59272,2016,435.0,2045.0,21.27
59670,2016,58.99573,636.70222,9.27
59215,2016,30.00382,458.04745,6.55
59242,2016,30.80238,369.62853,8.33
59635,2016,16.60798,162.87888,10.2
59525,2016,291.6619,1352.62384,21.56
59569,2016,1524.03637,6653.24215,22.91
59231,2016,80.22514,506.4212,15.84
59281,2016,96.44555,578.44246,16.67
59183,2016,8260.72775,38989.71241,21.19
59654,2016,800.84232,2850.18794,28.1
59342,2016,10.131,106.37555,9.52
59386,2016,699.10828,5040.69373,13.87
59086,2016,115.12463,1156.25174,9.96
59232,2016,9.7619,175.71429,5.56
59472,2016,50.79098,371.10276,13.69
59379,2016,34.20027,337.11694,10.14
59219,2016,14.91023,365.18477,4.08
59651,2016,180.05496,720.19292,25.0
